cost,loss,epsilon,Accuracy,Kappa
0.5,L1,0.001,0.6842105263157895,0.2692307692307692
0.5,L1,0.01,0.6842105263157895,0.2692307692307692
0.5,L1,0.1,0.6842105263157895,0.2692307692307692
0.5,L2_dual,0.001,0.7368421052631579,0.41717791411042937
0.5,L2_dual,0.01,0.7368421052631579,0.41717791411042937
0.5,L2_dual,0.1,0.7368421052631579,0.41717791411042937
0.5,L2_primal,0.001,0.7368421052631579,0.41717791411042937
0.5,L2_primal,0.01,0.7368421052631579,0.41717791411042937
0.5,L2_primal,0.1,0.7368421052631579,0.41717791411042937
1,L1,0.001,0.6842105263157895,0.2692307692307692
1,L1,0.01,0.6842105263157895,0.2692307692307692
1,L1,0.1,0.6842105263157895,0.2692307692307692
1,L2_dual,0.001,0.7368421052631579,0.41717791411042937
1,L2_dual,0.01,0.7368421052631579,0.41717791411042937
1,L2_dual,0.1,0.7368421052631579,0.41717791411042937
1,L2_primal,0.001,0.7368421052631579,0.41717791411042937
1,L2_primal,0.01,0.7368421052631579,0.41717791411042937
1,L2_primal,0.1,0.7368421052631579,0.41717791411042937
2,L1,0.001,0.6842105263157895,0.2692307692307692
2,L1,0.01,0.6842105263157895,0.2692307692307692
2,L1,0.1,0.6842105263157895,0.2692307692307692
2,L2_dual,0.001,0.7368421052631579,0.41717791411042937
2,L2_dual,0.01,0.7368421052631579,0.41717791411042937
2,L2_dual,0.1,0.7368421052631579,0.41717791411042937
2,L2_primal,0.001,0.7368421052631579,0.41717791411042937
2,L2_primal,0.01,0.7368421052631579,0.41717791411042937
2,L2_primal,0.1,0.7368421052631579,0.41717791411042937
