cost,loss,epsilon,Accuracy,Kappa
0.5,L1,0.001,0.5789473684210527,-0.0704225352112678
0.5,L1,0.01,0.5789473684210527,-0.0704225352112678
0.5,L1,0.1,0.5789473684210527,0.025641025641025654
0.5,L2_dual,0.001,0.5789473684210527,0.025641025641025654
0.5,L2_dual,0.01,0.5789473684210527,0.025641025641025654
0.5,L2_dual,0.1,0.5789473684210527,0.025641025641025654
0.5,L2_primal,0.001,0.5789473684210527,0.025641025641025654
0.5,L2_primal,0.01,0.5789473684210527,0.025641025641025654
0.5,L2_primal,0.1,0.5789473684210527,0.025641025641025654
1,L1,0.001,0.5789473684210527,-0.0704225352112678
1,L1,0.01,0.5789473684210527,-0.0704225352112678
1,L1,0.1,0.5789473684210527,-0.0704225352112678
1,L2_dual,0.001,0.5789473684210527,0.025641025641025654
1,L2_dual,0.01,0.5789473684210527,0.025641025641025654
1,L2_dual,0.1,0.5789473684210527,0.025641025641025654
1,L2_primal,0.001,0.5789473684210527,0.025641025641025654
1,L2_primal,0.01,0.5789473684210527,0.025641025641025654
1,L2_primal,0.1,0.5789473684210527,0.025641025641025654
2,L1,0.001,0.631578947368421,0.10738255033557051
2,L1,0.01,0.631578947368421,0.10738255033557051
2,L1,0.1,0.5263157894736842,-0.049079754601227016
2,L2_dual,0.001,0.5789473684210527,0.025641025641025654
2,L2_dual,0.01,0.5789473684210527,0.025641025641025654
2,L2_dual,0.1,0.5789473684210527,0.025641025641025654
2,L2_primal,0.001,0.5789473684210527,0.025641025641025654
2,L2_primal,0.01,0.5789473684210527,0.025641025641025654
2,L2_primal,0.1,0.5789473684210527,0.025641025641025654
