cost,loss,epsilon,Accuracy,Kappa
0.5,L1,0.001,0.7894736842105263,0.5529411764705882
0.5,L1,0.01,0.7894736842105263,0.5529411764705882
0.5,L1,0.1,0.7894736842105263,0.5529411764705882
0.5,L2_dual,0.001,0.8947368421052632,0.7764705882352941
0.5,L2_dual,0.01,0.8947368421052632,0.7764705882352941
0.5,L2_dual,0.1,0.8947368421052632,0.7764705882352941
0.5,L2_primal,0.001,0.8947368421052632,0.7764705882352941
0.5,L2_primal,0.01,0.8947368421052632,0.7764705882352941
0.5,L2_primal,0.1,0.8947368421052632,0.7764705882352941
1,L1,0.001,0.8947368421052632,0.7764705882352941
1,L1,0.01,0.8947368421052632,0.7764705882352941
1,L1,0.1,0.8947368421052632,0.7764705882352941
1,L2_dual,0.001,0.8947368421052632,0.7764705882352941
1,L2_dual,0.01,0.8947368421052632,0.7764705882352941
1,L2_dual,0.1,0.8947368421052632,0.7764705882352941
1,L2_primal,0.001,0.8947368421052632,0.7764705882352941
1,L2_primal,0.01,0.8947368421052632,0.7764705882352941
1,L2_primal,0.1,0.8947368421052632,0.7764705882352941
2,L1,0.001,0.8947368421052632,0.7764705882352941
2,L1,0.01,0.8947368421052632,0.7764705882352941
2,L1,0.1,0.8947368421052632,0.7764705882352941
2,L2_dual,0.001,0.8947368421052632,0.7764705882352941
2,L2_dual,0.01,0.8947368421052632,0.7764705882352941
2,L2_dual,0.1,0.8947368421052632,0.7764705882352941
2,L2_primal,0.001,0.8947368421052632,0.7764705882352941
2,L2_primal,0.01,0.8947368421052632,0.7764705882352941
2,L2_primal,0.1,0.8947368421052632,0.7764705882352941
