cost,loss,epsilon,Accuracy,Kappa
0.5,L1,0.001,0.8421052631578947,0.6503067484662576
0.5,L1,0.01,0.8421052631578947,0.6503067484662576
0.5,L1,0.1,0.8947368421052632,0.7764705882352941
0.5,L2_dual,0.001,1,1
0.5,L2_dual,0.01,1,1
0.5,L2_dual,0.1,1,1
0.5,L2_primal,0.001,1,1
0.5,L2_primal,0.01,1,1
0.5,L2_primal,0.1,1,1
1,L1,0.001,0.8947368421052632,0.7764705882352941
1,L1,0.01,0.8947368421052632,0.7764705882352941
1,L1,0.1,0.8947368421052632,0.7764705882352941
1,L2_dual,0.001,0.9473684210526315,0.8834355828220858
1,L2_dual,0.01,0.9473684210526315,0.8834355828220858
1,L2_dual,0.1,0.9473684210526315,0.8834355828220858
1,L2_primal,0.001,0.9473684210526315,0.8834355828220858
1,L2_primal,0.01,0.9473684210526315,0.8834355828220858
1,L2_primal,0.1,0.9473684210526315,0.8834355828220858
2,L1,0.001,0.8947368421052632,0.7764705882352941
2,L1,0.01,0.8947368421052632,0.7764705882352941
2,L1,0.1,0.9473684210526315,0.8834355828220858
2,L2_dual,0.001,0.9473684210526315,0.8834355828220858
2,L2_dual,0.01,0.9473684210526315,0.8834355828220858
2,L2_dual,0.1,0.9473684210526315,0.8834355828220858
2,L2_primal,0.001,0.9473684210526315,0.8834355828220858
2,L2_primal,0.01,0.9473684210526315,0.8834355828220858
2,L2_primal,0.1,0.9473684210526315,0.8834355828220858
