cost,loss,epsilon,Accuracy,Kappa
0.5,L1,0.001,0.6842105263157895,0
0.5,L1,0.01,0.6842105263157895,0
0.5,L1,0.1,0.6842105263157895,0
0.5,L2_dual,0.001,0.8421052631578947,0.5777777777777777
0.5,L2_dual,0.01,0.8421052631578947,0.5777777777777777
0.5,L2_dual,0.1,0.8421052631578947,0.5777777777777777
0.5,L2_primal,0.001,0.8421052631578947,0.5777777777777777
0.5,L2_primal,0.01,0.8421052631578947,0.5777777777777777
0.5,L2_primal,0.1,0.8421052631578947,0.5777777777777777
1,L1,0.001,0.7894736842105263,0.40624999999999994
1,L1,0.01,0.7368421052631579,0.21487603305785116
1,L1,0.1,0.6842105263157895,0
1,L2_dual,0.001,0.9473684210526315,0.8724832214765099
1,L2_dual,0.01,0.9473684210526315,0.8724832214765099
1,L2_dual,0.1,0.9473684210526315,0.8724832214765099
1,L2_primal,0.001,0.9473684210526315,0.8724832214765099
1,L2_primal,0.01,0.9473684210526315,0.8724832214765099
1,L2_primal,0.1,0.9473684210526315,0.8724832214765099
2,L1,0.001,0.9473684210526315,0.8724832214765099
2,L1,0.01,0.9473684210526315,0.8724832214765099
2,L1,0.1,0.9473684210526315,0.8724832214765099
2,L2_dual,0.001,1,1
2,L2_dual,0.01,1,1
2,L2_dual,0.1,1,1
2,L2_primal,0.001,1,1
2,L2_primal,0.01,1,1
2,L2_primal,0.1,1,1
