cost,loss,epsilon,Accuracy,Kappa
0.5,L1,0.001,0.7368421052631579,0.29629629629629634
0.5,L1,0.01,0.7368421052631579,0.29629629629629634
0.5,L1,0.1,0.7368421052631579,0.29629629629629634
0.5,L2_dual,0.001,0.7368421052631579,0.21487603305785116
0.5,L2_dual,0.01,0.7368421052631579,0.21487603305785116
0.5,L2_dual,0.1,0.7368421052631579,0.21487603305785116
0.5,L2_primal,0.001,0.7368421052631579,0.21487603305785116
0.5,L2_primal,0.01,0.7368421052631579,0.21487603305785116
0.5,L2_primal,0.1,0.7368421052631579,0.21487603305785116
1,L1,0.001,0.7368421052631579,0.29629629629629634
1,L1,0.01,0.7368421052631579,0.29629629629629634
1,L1,0.1,0.631578947368421,0.014814814814814966
1,L2_dual,0.001,0.7368421052631579,0.21487603305785116
1,L2_dual,0.01,0.7368421052631579,0.21487603305785116
1,L2_dual,0.1,0.7368421052631579,0.21487603305785116
1,L2_primal,0.001,0.7368421052631579,0.21487603305785116
1,L2_primal,0.01,0.7368421052631579,0.21487603305785116
1,L2_primal,0.1,0.7368421052631579,0.21487603305785116
2,L1,0.001,0.7368421052631579,0.29629629629629634
2,L1,0.01,0.7368421052631579,0.29629629629629634
2,L1,0.1,0.8421052631578947,0.5777777777777777
2,L2_dual,0.001,0.7368421052631579,0.21487603305785116
2,L2_dual,0.01,0.7368421052631579,0.21487603305785116
2,L2_dual,0.1,0.7368421052631579,0.21487603305785116
2,L2_primal,0.001,0.7368421052631579,0.21487603305785116
2,L2_primal,0.01,0.7368421052631579,0.21487603305785116
2,L2_primal,0.1,0.7368421052631579,0.21487603305785116
