Gene_ID	DE_in_Method	DESeq2_log2FC	EdgeR_log2FC	Average_log2FC	Gene description	Gene name	Gene type
ENSCAFG00000000184	EdgeR	NA	-3.47285265015372	-3.47285265015372	monooxygenase DBH like 1 [Source:VGNC Symbol;Acc:VGNC:43329]	MOXD1	protein_coding
ENSCAFG00000000200	EdgeR	NA	2.12073332638609	2.12073332638609	NDUFA4, mitochondrial complex associated like 2 [Source:VGNC Symbol;Acc:VGNC:43688]	NDUFA4L2	protein_coding
ENSCAFG00000000257	DESeq2 EdgeR	2.51701607157828	2.44939311468673	2.48320459313251	interleukin 20 receptor subunit alpha [Source:VGNC Symbol;Acc:VGNC:41965]	IL20RA	protein_coding
ENSCAFG00000000408	DESeq2 EdgeR	2.7707174669793	2.67724446489216	2.72398096593573	interferon gamma [Source:VGNC Symbol;Acc:VGNC:41879]	IFNG	protein_coding
ENSCAFG00000000493	EdgeR	NA	2.57415842082608	2.57415842082608	odd-skipped related transciption factor 2 [Source:VGNC Symbol;Acc:VGNC:44169]	OSR2	protein_coding
ENSCAFG00000000797	EdgeR	NA	2.88994587293547	2.88994587293547	butyrophilin like 2 [Source:VGNC Symbol;Acc:VGNC:54925]	BTNL2	protein_coding
ENSCAFG00000000878	DESeq2	-2.59750080316162	NA	-2.59750080316162	interleukin 13 [Source:VGNC Symbol;Acc:VGNC:41936]	IL13	protein_coding
ENSCAFG00000001002	EdgeR	NA	2.11509624393403	2.11509624393403	sphingomyelin phosphodiesterase acid like 3A [Source:VGNC Symbol;Acc:VGNC:46573]	SMPDL3A	protein_coding
ENSCAFG00000001281	EdgeR	NA	3.96338816340705	3.96338816340705	LY6/PLAUR domain containing 2 [Source:VGNC Symbol;Acc:VGNC:42884]	LYPD2	protein_coding
ENSCAFG00000001316	DESeq2 EdgeR	-1.98943575065328	-2.0312039874867	-2.01031986906999	death associated protein kinase 1 [Source:VGNC Symbol;Acc:VGNC:39770]	DAPK1	protein_coding
ENSCAFG00000001575	EdgeR	NA	3.35983557114189	3.35983557114189	apolipoprotein B mRNA editing enzyme catalytic subunit 2 [Source:VGNC Symbol;Acc:VGNC:37996]	APOBEC2	protein_coding
ENSCAFG00000001635	DESeq2 EdgeR	1.53874091313456	1.59343753517438	1.56608922415447	MLLT3, super elongation complex subunit [Source:VGNC Symbol;Acc:VGNC:43262]	MLLT3	protein_coding
ENSCAFG00000001672	DESeq2 EdgeR	-3.02793430897211	-2.96579991959876	-2.99686711428543	leptin [Source:VGNC Symbol;Acc:VGNC:42637]	LEP	protein_coding
ENSCAFG00000001835	DESeq2 EdgeR	1.72431028190251	3.25072909794089	2.4875196899217	ATP binding cassette subfamily B member 1 [Source:VGNC Symbol;Acc:VGNC:37431]	ABCB1	protein_coding
ENSCAFG00000002411	DESeq2	-2.41922289368205	NA	-2.41922289368205	fer-1 like family member 5 [Source:VGNC Symbol;Acc:VGNC:40819]	FER1L5	protein_coding
ENSCAFG00000002695	EdgeR	NA	3.73306019652886	3.73306019652886	luteinizing hormone/choriogonadotropin receptor [Source:VGNC Symbol;Acc:VGNC:54524]	LHCGR	protein_coding
ENSCAFG00000002712	EdgeR	NA	2.54419633140887	2.54419633140887	NA	NA	protein_coding
ENSCAFG00000002733	EdgeR	NA	3.04629866153168	3.04629866153168	interleukin 6 [Source:VGNC Symbol;Acc:VGNC:41992]	IL6	protein_coding
ENSCAFG00000002835	DESeq2 EdgeR	1.13370483652652	1.14906861321687	1.14138672487169	catenin alpha like 1 [Source:VGNC Symbol;Acc:VGNC:39699]	CTNNAL1	protein_coding
ENSCAFG00000003040	EdgeR	NA	1.6936310109719	1.6936310109719	glycoprotein hormones, alpha polypeptide [Source:VGNC Symbol;Acc:VGNC:39181]	CGA	protein_coding
ENSCAFG00000003103	EdgeR	NA	1.40867274055084	1.40867274055084	Ras related GTP binding D [Source:VGNC Symbol;Acc:VGNC:49747]	RRAGD	protein_coding
ENSCAFG00000003331	DESeq2 EdgeR	2.70415451221578	3.95925580118429	3.33170515670004	alpha-1-acid glycoprotein 1 [Source:NCBI gene;Acc:100685620]	NA	protein_coding
ENSCAFG00000003434	EdgeR	NA	2.56767354193811	2.56767354193811	ventral anterior homeobox 2 [Source:VGNC Symbol;Acc:VGNC:54553]	VAX2	protein_coding
ENSCAFG00000003598	DESeq2	-1.170858218278	NA	-1.170858218278	lin-28 homolog B [Source:VGNC Symbol;Acc:VGNC:42684]	LIN28B	protein_coding
ENSCAFG00000003665	DESeq2 EdgeR	1.97078581029577	1.90154954602205	1.93616767815891	solute carrier family 17 member 7 [Source:VGNC Symbol;Acc:VGNC:46252]	SLC17A7	protein_coding
ENSCAFG00000003680	DESeq2	-1.43152625982244	NA	-1.43152625982244	myosin light chain kinase 3 [Source:VGNC Symbol;Acc:VGNC:43551]	MYLK3	protein_coding
ENSCAFG00000004237	DESeq2 EdgeR	-2.46164394884399	-2.47511324832252	-2.46837859858326	KIAA1217 [Source:VGNC Symbol;Acc:VGNC:42363]	KIAA1217	protein_coding
ENSCAFG00000004855	DESeq2 EdgeR	1.60654924575384	1.5851297638319	1.59583950479287	erythrocyte membrane protein band 4.1 like 5 [Source:VGNC Symbol;Acc:VGNC:40398]	EPB41L5	protein_coding
ENSCAFG00000004958	EdgeR	NA	4.13329666666925	4.13329666666925	ATPase Na+/K+ transporting subunit alpha 3 [Source:VGNC Symbol;Acc:VGNC:38246]	ATP1A3	protein_coding
ENSCAFG00000005007	DESeq2	-1.4710219082445	NA	-1.4710219082445	cyclin dependent kinase 3 [Source:VGNC Symbol;Acc:VGNC:51938]	CDK3	protein_coding
ENSCAFG00000005023	DESeq2 EdgeR	2.30307776349254	2.32648628774588	2.31478202561921	histamine receptor H1 [Source:VGNC Symbol;Acc:VGNC:41786]	HRH1	protein_coding
ENSCAFG00000005049	EdgeR	NA	2.75179054790661	2.75179054790661	cytochrome P450 family 2 subfamily S member 1 [Source:VGNC Symbol;Acc:VGNC:50356]	CYP2S1	protein_coding
ENSCAFG00000005056	DESeq2 EdgeR	1.74375775823811	1.72824755128019	1.73600265475915	sodium voltage-gated channel alpha subunit 10 [Source:VGNC Symbol;Acc:VGNC:45913]	SCN10A	protein_coding
ENSCAFG00000005084	EdgeR	NA	3.5468403576784	3.5468403576784	canopy FGF signaling regulator 1 [Source:VGNC Symbol;Acc:VGNC:39423]	CNPY1	protein_coding
ENSCAFG00000005301	DESeq2	-1.18124959501732	NA	-1.18124959501732	pleckstrin and Sec7 domain containing 3 [Source:VGNC Symbol;Acc:VGNC:57309]	PSD3	protein_coding
ENSCAFG00000005330	DESeq2 EdgeR	-2.58491512961707	-2.54985889836252	-2.5673870139898	SH2 domain containing 4A [Source:VGNC Symbol;Acc:VGNC:46114]	SH2D4A	protein_coding
ENSCAFG00000005750	EdgeR	NA	2.12899598230363	2.12899598230363	indoleamine 2,3-dioxygenase 1 [Source:VGNC Symbol;Acc:VGNC:41865]	IDO1	protein_coding
ENSCAFG00000005835	DESeq2 EdgeR	3.06814552489337	2.95602844871402	3.01208698680369	Zic family member 2 [Source:HGNC Symbol;Acc:HGNC:12873]	ZIC2	protein_coding
